cme_id,speed,type,linked_events,start time
2011-03-21T02:54:00-CME-001,1000.0,O,"[{'activityID': '2011-03-20T18:00:00-SEP-001'}, {'activityID': '2011-03-21T08:00:00-SEP-001'}, {'activityID': '2011-03-21T11:10:00-SEP-001'}, {'activityID': '2011-03-21T19:40:00-SEP-001'}, {'activityID': '2011-03-22T18:00:00-IPS-001'}]","03/21/2011, 02:54:00"
2011-03-26T06:24:00-CME-001,1005.0,O,[{'activityID': '2011-03-28T09:00:00-IPS-001'}],"03/26/2011, 06:24:00"
2011-03-27T05:30:00-CME-001,990.0,C,,"03/27/2011, 05:30:00"
2011-03-28T15:48:00-CME-001,500.0,C,,"03/28/2011, 15:48:00"
2011-03-29T20:36:00-CME-001,1320.0,O,"[{'activityID': '2011-04-01T00:00:00-IPS-001'}, {'activityID': '2011-04-01T16:00:00-IPS-001'}]","03/29/2011, 20:36:00"
2011-04-04T03:24:00-CME-001,730.0,C,,"04/04/2011, 03:24:00"
2011-04-04T04:09:00-CME-001,950.0,C,[{'activityID': '2011-04-05T18:00:00-IPS-001'}],"04/04/2011, 04:09:00"
2011-04-07T06:12:00-CME-001,550.0,C,[{'activityID': '2011-04-11T08:00:00-IPS-001'}],"04/07/2011, 06:12:00"
2011-04-07T12:20:00-CME-001,990.0,C,,"04/07/2011, 12:20:00"
2011-04-07T20:24:00-CME-001,580.0,C,,"04/07/2011, 20:24:00"
2011-04-10T03:12:00-CME-001,450.0,S,,"04/10/2011, 03:12:00"
2011-04-11T23:05:00-CME-001,550.0,C,[{'activityID': '2011-04-15T07:52:00-IPS-001'}],"04/11/2011, 23:05:00"
2011-04-17T01:25:00-CME-001,300.0,S,,"04/17/2011, 01:25:00"
2011-04-17T15:54:00-CME-001,1355.0,O,,"04/17/2011, 15:54:00"
2011-04-24T21:36:00-CME-001,455.0,S,,"04/24/2011, 21:36:00"
2011-04-27T02:48:00-CME-001,950.0,C,,"04/27/2011, 02:48:00"
2011-04-27T07:48:00-CME-001,640.0,C,,"04/27/2011, 07:48:00"
2011-04-29T20:48:00-CME-001,270.0,S,[{'activityID': '2011-05-04T19:06:00-IPS-001'}],"04/29/2011, 20:48:00"
2011-05-01T14:24:00-CME-001,580.0,C,[{'activityID': '2011-05-04T19:06:00-IPS-001'}],"05/01/2011, 14:24:00"
2011-05-03T15:54:00-CME-001,620.0,C,[{'activityID': '2011-05-06T22:00:00-IPS-001'}],"05/03/2011, 15:54:00"
2011-05-06T09:25:00-CME-001,850.0,C,,"05/06/2011, 09:25:00"
2011-05-09T21:00:00-CME-001,1300.0,O,[{'activityID': '2011-05-12T05:00:00-IPS-001'}],"05/09/2011, 21:00:00"
2011-05-11T02:48:00-CME-001,350.0,S,,"05/11/2011, 02:48:00"
2011-05-18T18:54:00-CME-001,760.0,C,[{'activityID': '2011-05-19T11:50:00-IPS-001'}],"05/18/2011, 18:54:00"
2011-05-19T04:36:00-CME-001,611.0,C,,"05/19/2011, 04:36:00"
2011-05-24T23:54:00-CME-001,610.0,C,[{'activityID': '2011-05-28T06:00:00-IPS-001'}],"05/24/2011, 23:54:00"
2011-05-29T11:30:00-CME-001,850.0,C,[{'activityID': '2011-06-01T07:00:00-IPS-001'}],"05/29/2011, 11:30:00"
2011-05-29T21:30:00-CME-001,915.0,C,[{'activityID': '2011-06-01T07:00:00-IPS-001'}],"05/29/2011, 21:30:00"
2011-06-02T07:40:00-CME-001,950.0,C,"[{'activityID': '2011-06-04T20:00:00-IPS-001'}, {'activityID': '2011-06-04T21:00:00-GST-001'}]","06/02/2011, 07:40:00"
2011-06-04T07:09:00-CME-001,1050.0,O,"[{'activityID': '2011-06-04T04:00:00-SEP-001'}, {'activityID': '2011-06-04T15:12:00-IPS-001'}, {'activityID': '2011-06-05T19:00:00-IPS-001'}]","06/04/2011, 07:09:00"
2011-06-04T22:09:00-CME-001,2500.0,R,[{'activityID': '2011-06-05T03:31:00-IPS-001'}],"06/04/2011, 22:09:00"
2011-06-05T06:24:00-CME-001,760.0,C,,"06/05/2011, 06:24:00"
2011-06-06T08:54:00-CME-001,750.0,C,,"06/06/2011, 08:54:00"
2011-06-07T06:50:00-CME-001,1400.0,O,[{'activityID': '2011-06-07T06:16:00-FLR-001'}],"06/07/2011, 06:50:00"
2011-06-07T19:10:00-CME-001,1500.0,O,[{'activityID': '2011-06-08T04:25:00-IPS-001'}],"06/07/2011, 19:10:00"
2011-06-08T18:00:00-CME-001,320.0,S,,"06/08/2011, 18:00:00"
2011-06-13T04:40:00-CME-001,830.0,C,,"06/13/2011, 04:40:00"
