class_type,end_time(zulu),flare_id,linked_events,peak_time(zulu),power(w/m^2),start_time(zulu)
C3.7,"09/28/2012, 00:34:00",2012-09-27T23:36:00-FLR-001,"[{'activityID': '2012-09-28T02:25:00-CME-001'}, {'activityID': '2012-09-28T02:47:00-SEP-001'}, {'activityID': '2012-09-28T03:00:00-SEP-001'}, {'activityID': '2012-09-28T05:21:00-SEP-001'}]","09/27/2012, 23:57:00",3.7e-06,"09/27/2012, 23:36:00"
M9.1,"10/20/2012, 18:19:00",2012-10-20T18:05:00-FLR-001,['None Found.'],"10/20/2012, 18:14:00",9.1e-05,"10/20/2012, 18:05:00"
M5.0,"10/22/2012, 19:01:00",2012-10-22T18:38:00-FLR-001,['None Found.'],"10/22/2012, 18:51:00",5e-05,"10/22/2012, 18:38:00"
X1.8,"10/23/2012, 03:21:00",2012-10-23T03:13:00-FLR-001,['None Found.'],"10/23/2012, 03:17:00",0.00018,"10/23/2012, 03:13:00"
M1.7,"11/08/2012, 04:40:00",2012-11-08T02:09:00-FLR-001,[{'activityID': '2012-11-08T11:09:00-CME-001'}],"11/08/2012, 02:23:00",1.7e-05,"11/08/2012, 02:09:00"
M6.0,Invalid format / no data.,2012-11-13T01:58:00-FLR-001,['None Found.'],"11/13/2012, 02:04:00",6.000000000000001e-05,"11/13/2012, 01:58:00"
M1.7,"11/20/2012, 12:46:00",2012-11-20T12:36:00-FLR-001,['None Found.'],"11/20/2012, 12:41:00",1.7e-05,"11/20/2012, 12:36:00"
M3.5,"11/21/2012, 15:38:00",2012-11-21T15:10:00-FLR-001,[{'activityID': '2012-11-21T16:24:00-CME-001'}],"11/21/2012, 15:30:00",3.5000000000000004e-05,"11/21/2012, 15:10:00"
M1.2,"03/15/2013, 14:30:00",2013-03-15T05:51:00-FLR-001,"[{'activityID': '2013-03-15T06:54:00-CME-001'}, {'activityID': '2013-03-16T10:00:00-SEP-001'}]","03/15/2013, 06:58:00",1.2e-05,"03/15/2013, 05:51:00"
M6.5,"04/11/2013, 07:29:00",2013-04-11T06:55:00-FLR-001,"[{'activityID': '2013-04-11T07:36:00-CME-001'}, {'activityID': '2013-04-11T08:12:00-SEP-001'}, {'activityID': '2013-04-11T09:30:00-SEP-001'}, {'activityID': '2013-04-11T10:10:00-SEP-001'}]","04/11/2013, 07:16:00",6.500000000000001e-05,"04/11/2013, 06:55:00"
M5.7,"05/03/2013, 17:41:00",2013-05-03T17:24:00-FLR-001,['None Found.'],"05/03/2013, 17:32:00",5.7e-05,"05/03/2013, 17:24:00"
X1.6,"05/13/2013, 02:32:00",2013-05-13T01:53:00-FLR-001,"[{'activityID': '2013-05-13T02:54:00-CME-001'}, {'activityID': '2013-05-13T04:12:00-SEP-001'}]","05/13/2013, 02:17:00",0.00016,"05/13/2013, 01:53:00"
X2.8,"05/13/2013, 16:16:00",2013-05-13T15:40:00-FLR-001,"[{'activityID': '2013-05-13T16:18:00-CME-001'}, {'activityID': '2013-05-13T18:02:00-SEP-001'}]","05/13/2013, 16:05:00",0.00028,"05/13/2013, 15:40:00"
X3.2,"05/14/2013, 01:20:00",2013-05-14T01:00:00-FLR-001,[{'activityID': '2013-05-14T01:30:00-CME-001'}],"05/14/2013, 01:11:00",0.00032,"05/14/2013, 01:00:00"
X1.2,"05/15/2013, 01:58:00",2013-05-15T01:25:00-FLR-001,"[{'activityID': '2013-05-15T02:18:00-CME-001'}, {'activityID': '2013-05-15T13:25:00-SEP-001'}]","05/15/2013, 01:48:00",0.00012,"05/15/2013, 01:25:00"
M5.0,"05/22/2013, 17:10:00",2013-05-22T12:30:00-FLR-001,"[{'activityID': '2013-05-22T13:24:00-CME-001'}, {'activityID': '2013-05-22T15:05:00-SEP-001'}, {'activityID': '2013-05-22T15:05:00-SEP-002'}, {'activityID': '2013-05-22T15:30:00-SEP-001'}]","05/22/2013, 13:38:00",5e-05,"05/22/2013, 12:30:00"
M5.9,"06/07/2013, 23:04:00",2013-06-07T22:32:00-FLR-001,['None Found.'],"06/07/2013, 22:49:00",5.900000000000001e-05,"06/07/2013, 22:32:00"
M2.9,"06/21/2013, 03:43:00",2013-06-21T02:30:00-FLR-001,[{'activityID': '2013-06-21T06:09:00-SEP-001'}],"06/21/2013, 03:14:00",2.9e-05,"06/21/2013, 02:30:00"
M1.0,"10/22/2013, 00:28:00",2013-10-22T00:14:00-FLR-001,['None Found.'],"10/22/2013, 00:22:00",1e-05,"10/22/2013, 00:14:00"
M1.0,"10/22/2013, 15:28:00",2013-10-22T14:49:00-FLR-001,['None Found.'],"10/22/2013, 15:20:00",1e-05,"10/22/2013, 14:49:00"
M4.3,"10/22/2013, 21:32:00",2013-10-22T21:15:00-FLR-001,[{'activityID': '2013-10-22T22:00:00-CME-001'}],"10/22/2013, 21:20:00",4.3e-05,"10/22/2013, 21:15:00"
M9.3,"10/24/2013, 00:35:00",2013-10-24T00:22:00-FLR-001,[{'activityID': '2013-10-24T01:48:00-CME-001'}],"10/24/2013, 00:30:00",9.300000000000001e-05,"10/24/2013, 00:22:00"
X1.7,"10/25/2013, 08:09:00",2013-10-25T07:53:00-FLR-001,"[{'activityID': '2013-10-25T08:24:00-CME-001'}, {'activityID': '2013-10-25T13:36:00-SEP-001'}]","10/25/2013, 08:01:00",0.00017,"10/25/2013, 07:53:00"
X2.1,"10/25/2013, 15:12:00",2013-10-25T14:52:00-FLR-001,[{'activityID': '2013-10-25T15:12:00-CME-001'}],"10/25/2013, 15:03:00",0.00021,"10/25/2013, 14:52:00"
M3.1,"10/26/2013, 19:30:00",2013-10-26T19:24:00-FLR-001,[{'activityID': '2013-10-26T20:09:00-CME-001'}],"10/26/2013, 19:27:00",3.1e-05,"10/26/2013, 19:24:00"
M1.0,"10/26/2013, 19:58:00",2013-10-26T19:49:00-FLR-001,['None Found.'],"10/26/2013, 19:53:00",1e-05,"10/26/2013, 19:49:00"
X1.0,"10/28/2013, 02:12:00",2013-10-28T01:41:00-FLR-001,[{'activityID': '2013-10-28T02:12:00-CME-001'}],"10/28/2013, 02:03:00",0.0001,"10/28/2013, 01:41:00"
M5.1,"10/28/2013, 04:46:00",2013-10-28T04:32:00-FLR-001,[{'activityID': '2013-10-28T04:48:00-CME-001'}],"10/28/2013, 04:41:00",5.1e-05,"10/28/2013, 04:32:00"
X2.3,"10/29/2013, 22:01:00",2013-10-29T21:48:00-FLR-001,[{'activityID': '2013-10-29T22:12:00-CME-001'}],"10/29/2013, 21:54:00",0.00022999999999999998,"10/29/2013, 21:48:00"
M6.3,"11/01/2013, 19:58:00",2013-11-01T19:46:00-FLR-001,['None Found.'],"11/01/2013, 19:53:00",6.3e-05,"11/01/2013, 19:46:00"
X3.3,"11/05/2013, 22:15:00",2013-11-05T22:08:00-FLR-001,['None Found.'],"11/05/2013, 22:12:00",0.00033,"11/05/2013, 22:08:00"
X1.1,"11/08/2013, 04:29:00",2013-11-08T04:20:00-FLR-001,[{'activityID': '2013-11-08T06:09:00-CME-001'}],"11/08/2013, 04:26:00",0.00011000000000000002,"11/08/2013, 04:20:00"
X1.1,"11/10/2013, 05:18:00",2013-11-10T05:08:00-FLR-001,[{'activityID': '2013-11-10T05:39:00-CME-001'}],"11/10/2013, 05:14:00",0.00011000000000000002,"11/10/2013, 05:08:00"
X1.0,"11/19/2013, 10:34:00",2013-11-19T10:14:00-FLR-001,[{'activityID': '2013-11-19T10:39:00-CME-001'}],"11/19/2013, 10:26:00",0.0001,"11/19/2013, 10:14:00"
M3.1,"12/29/2013, 08:00:00",2013-12-29T07:49:00-FLR-001,['None Found.'],"12/29/2013, 07:56:00",3.1e-05,"12/29/2013, 07:49:00"
M6.4,"12/31/2013, 22:20:00",2013-12-31T21:43:00-FLR-001,['None Found.'],"12/31/2013, 21:58:00",6.400000000000001e-05,"12/31/2013, 21:43:00"
M9.9,"01/01/2014, 19:03:00",2014-01-01T18:40:00-FLR-001,['None Found.'],"01/01/2014, 18:52:00",9.900000000000001e-05,"01/01/2014, 18:40:00"
M1.7,"01/02/2014, 02:56:00",2014-01-02T02:24:00-FLR-001,['None Found.'],"01/02/2014, 02:33:00",1.7e-05,"01/02/2014, 02:24:00"
M1.2,"01/02/2014, 22:22:00",2014-01-02T22:12:00-FLR-001,['None Found.'],"01/02/2014, 22:18:00",1.2e-05,"01/02/2014, 22:12:00"
M1.0,"01/03/2014, 12:54:00",2014-01-03T12:41:00-FLR-001,['None Found.'],"01/03/2014, 12:50:00",1e-05,"01/03/2014, 12:41:00"
M1.1,"01/03/2014, 21:40:00",2014-01-03T21:00:00-FLR-001,['None Found.'],"01/03/2014, 21:14:00",1.1000000000000001e-05,"01/03/2014, 21:00:00"
M1.3,"01/04/2014, 10:41:00",2014-01-04T10:16:00-FLR-001,['None Found.'],"01/04/2014, 10:25:00",1.3000000000000001e-05,"01/04/2014, 10:16:00"
M4.0,"01/04/2014, 20:23:00",2014-01-04T18:47:00-FLR-001,[{'activityID': '2014-01-04T21:25:00-CME-001'}],"01/04/2014, 19:46:00",4e-05,"01/04/2014, 18:47:00"
M1.9,"01/04/2014, 23:22:00",2014-01-04T22:12:00-FLR-001,[{'activityID': '2014-01-05T00:54:00-CME-001'}],"01/04/2014, 22:52:00",1.9e-05,"01/04/2014, 22:12:00"
M1.0,"01/07/2014, 03:56:00",2014-01-07T03:49:00-FLR-001,['None Found.'],"01/07/2014, 03:53:00",1e-05,"01/07/2014, 03:49:00"
M7.2,"01/07/2014, 10:37:00",2014-01-07T10:07:00-FLR-001,['None Found.'],"01/07/2014, 10:13:00",7.2e-05,"01/07/2014, 10:07:00"
X1.2,"01/07/2014, 18:58:00",2014-01-07T18:02:00-FLR-001,"[{'activityID': '2014-01-07T18:24:00-CME-001'}, {'activityID': '2014-01-07T19:45:00-SEP-001'}, {'activityID': '2014-01-07T20:30:00-SEP-001'}, {'activityID': '2014-01-07T20:30:00-SEP-002'}]","01/07/2014, 18:32:00",0.00012,"01/07/2014, 18:02:00"
M3.6,"01/08/2014, 03:54:00",2014-01-08T03:39:00-FLR-001,[{'activityID': '2014-01-08T04:12:00-CME-001'}],"01/08/2014, 03:47:00",3.6e-05,"01/08/2014, 03:39:00"
M1.3,"01/13/2014, 21:53:00",2014-01-13T21:48:00-FLR-001,['None Found.'],"01/13/2014, 21:51:00",1.3000000000000001e-05,"01/13/2014, 21:48:00"
M2.1,"01/14/2014, 06:44:00",2014-01-14T06:33:00-FLR-001,['None Found.'],"01/14/2014, 06:39:00",2.1000000000000002e-05,"01/14/2014, 06:33:00"
M1.0,"01/27/2014, 01:39:00",2014-01-27T01:05:00-FLR-001,[{'activityID': '2014-01-27T02:24:00-CME-001'}],"01/27/2014, 01:21:00",1e-05,"01/27/2014, 01:05:00"
M1.1,"01/27/2014, 02:18:00",2014-01-27T02:02:00-FLR-001,[{'activityID': '2014-01-27T02:24:00-CME-001'}],"01/27/2014, 02:10:00",1.1000000000000001e-05,"01/27/2014, 02:02:00"
M1.5,"01/28/2014, 04:13:00",2014-01-28T04:02:00-FLR-001,['None Found.'],"01/28/2014, 04:09:00",1.5000000000000002e-05,"01/28/2014, 04:02:00"
M3.6,"01/28/2014, 07:34:00",2014-01-28T07:25:00-FLR-001,['None Found.'],"01/28/2014, 07:31:00",3.6e-05,"01/28/2014, 07:25:00"
M1.4,"01/28/2014, 11:41:00",2014-01-28T11:34:00-FLR-001,['None Found.'],"01/28/2014, 11:38:00",1.4e-05,"01/28/2014, 11:34:00"
M1.3,"01/28/2014, 12:50:00",2014-01-28T12:50:00-FLR-001,['None Found.'],"01/28/2014, 12:46:00",1.3000000000000001e-05,"01/28/2014, 12:50:00"
M3.5,"01/28/2014, 15:29:00",2014-01-28T15:25:00-FLR-001,['None Found.'],"01/28/2014, 15:26:00",3.5000000000000004e-05,"01/28/2014, 15:25:00"
M4.9,"01/28/2014, 19:46:00",2014-01-28T19:37:00-FLR-001,['None Found.'],"01/28/2014, 19:40:00",4.9000000000000005e-05,"01/28/2014, 19:37:00"
M2.6,"01/28/2014, 22:20:00",2014-01-28T22:04:00-FLR-001,['None Found.'],"01/28/2014, 22:16:00",2.6000000000000002e-05,"01/28/2014, 22:04:00"
